Medium,Items,Language
Pictures,13,C1 (Advanced English)
Pictures,15,C1 (Advanced English)
Pictures,7,B2 (Upper-Intermediate English)
Pictures,13,B2 (Upper-Intermediate English)
Pictures,9,C1 (Advanced English)
Pictures,10,C1 (Advanced English)
Pictures,15,B2 (Upper-Intermediate English)
Pictures,9,C1 (Advanced English)
Pictures,13,C1 (Advanced English)
Pictures,14,C1 (Advanced English)
Annotated Pictures,13,C1 (Advanced English)
Annotated Pictures,9,B2 (Upper-Intermediate English)
Annotated Pictures,17,B2 (Upper-Intermediate English)
Annotated Pictures,14,B2 (Upper-Intermediate English)
Annotated Pictures,10,B2 (Upper-Intermediate English)
Annotated Pictures,17,C1 (Advanced English)
Annotated Pictures,9,B2 (Upper-Intermediate English)
Annotated Pictures,6,C1 (Advanced English)
Annotated Pictures,9,B2 (Upper-Intermediate English)
Annotated Pictures,10,B1 (Intermediate English)
Words,13,C1 (Advanced English)
Words,9,C1 (Advanced English)
Words,11,C1 (Advanced English)
Words,10,B2 (Upper-Intermediate English)
Words,12,B1 (Intermediate English)
Words,16,C1 (Advanced English)
Words,13,B2 (Upper-Intermediate English)
Words,18,C1 (Advanced English)
Words,9,B2 (Upper-Intermediate English)
Words,9,C1 (Advanced English)
